Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint_link,-2.39368092049717,-0.00483290229325627,0.293423517278007,0,0,0,1213.92065796691,132.416224920255,3.58189072460943E-07,0.0223637390499987,1043.69559443683,-0.000123119524351419,1166.88356648259,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/base_footprint_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/base_footprint_link.STL,,sh_straw_assy_VER1_decouple_fixed_part.sat-1;straw_input_assy.sat-1,base_footprint_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-2.41216049027595,-0.00488489986570807,-0.25731214457616,0,0,0,1202.0089133133,132.269701263897,3.58197182375003E-07,-2.04912835248647E-10,1043.35910574541,-0.00012311952243675,1166.55895402404,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/base_link.STL,,sh_straw_assy_VER1_decouple_fixed_part.sat-1,base_link_Coordinate,Axis0,base_link,fixed,2.5,0,0.54568,0,0,0,base_footprint_link,0,0,0,,,,,,,,,,,,
mu1,-0.33749355127765,-0.0214587092198623,-0.13366233803147,0,0,0,75.0234298122286,0.226305818645367,-4.14963555319755E-06,-3.05615942035816E-05,1.30907271090525,-0.00302122515037561,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu1.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-1,Coordinate System1,Axis1,mu1,prismatic,-0.9915,0.225,0.14651,1.5708,0,0,base_link,0,0,1,1000,10,0,0.035,,,,,,,,
mu2,-0.337506448722345,0.0214587092198549,-0.133662338037329,0,0,0,75.0234298122285,0.226305818645367,-4.14963555403663E-06,3.05615942034394E-05,1.30907271090524,0.0030212251503759,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu2.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-2,Coordinate System2,Axis2,mu2,prismatic,-0.991499999999999,-0.225000000000211,0.146510533368733,-1.5707963267949,0,0,base_link,0,0,1,1000,10,0,0.035,,,,,,,,
mu3,-0.337493551277646,-0.0214587092198459,-0.133662338031467,0,0,0,75.0234298122287,0.226305818645368,-4.14963555424632E-06,-3.05615942044005E-05,1.30907271090525,-0.00302122515037526,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu3.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-3,Coordinate System3,Axis3,mu3,prismatic,-1.7415,0.225000000000725,0.146510533365592,1.57079632679489,0,0,base_link,0,0,1,1000,10,0,0.07,,,,,,,,
mu4,-0.337506448722352,0.021458709219862,-0.133662338037325,0,0,0,75.0234298122286,0.226305818645367,-4.14963555332643E-06,3.05615942035129E-05,1.30907271090525,0.00302122515037555,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu4.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu4.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-4,Coordinate System4,Axis4,mu4,prismatic,-1.74149999999999,-0.224999999999301,0.146510533366394,-1.57079632680112,0,0,base_link,0,0,1,1000,10,0,0.07,,,,,,,,
mu5,-0.337493551277648,-0.0214587092198402,-0.133662338031468,0,0,0,9.74330257301671,0.0293902705498378,-3.70760250008123E-07,-3.96903820833445E-06,0.17000953848271,-0.000392366902646149,0.154873863237772,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu5.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu5.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-1,Coordinate System5,Axis5,mu5,prismatic,-2.4915,0.270000000000725,0.146510533366868,1.5707963267949,0,0,base_link,0,0,1,1000,10,0,0.105,,,,,,,,
mu6,-0.337506448722347,0.0214587092198392,-0.133662338037327,0,0,0,9.74330257301669,0.0293902705498377,-3.70760250011078E-07,3.96903820820328E-06,0.170009538482709,0.00039236690264622,0.154873863237771,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu6.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu6.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-2,Coordinate System6,Axis6,mu6,prismatic,-2.4915,-0.270000000000212,0.146510533368713,-1.5707963267949,0,0,base_link,0,0,1,1000,10,0,0.105,,,,,,,,
mu7,-0.337506448722343,0.0214587092198328,-0.133662338037327,0,0,0,9.74330257301669,0.0293902705498377,-3.70760250559452E-07,3.96903820819873E-06,0.170009538482709,0.000392366902646218,0.154873863237771,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu7.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu7.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-3,Coordinate System7,Axis7,mu7,prismatic,-3.2415,-0.27,0.14651,-1.5708,0,0,base_link,0,0,1,1000,10,0,0.125,,,,,,,,
mu8,-0.0090295947795449,0.0698943780550052,1.18977000157236,0,0,0,4.82343832674429,1.99920769464567,1.82398415652786E-07,-5.14382592432004E-11,1.99666259099405,-3.43927802853974E-13,0.00536705301278456,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu8.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu8.STL,,LM_unit_assy_moving_part.sat-1,Coordinate System8,Axis8,mu8,prismatic,-0.850000000000082,0.0700000000007299,-0.0749894666276235,3.14159265358979,1.5707963267949,0,base_link,0,0,1,1000,10,0,0.75,,,,,,,,
mu9,-1.3600879070105,-0.060006877299905,0.0195748859504544,0,0,0,7.9274130525593,0.00932874603458194,2.28661407392539E-14,-1.14041091606051E-11,6.17044531613233,9.52732582053038E-15,6.17707331946574,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu9.STL,0.0196078431372549,0.0196078431372549,0.0196078431372549,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu9.STL,,moving_straw_support_top_assy.sat-1,Coordinate System9,Axis9,mu9,prismatic,-0.136,0.01,-0.1705,3.1416,1.5708,0,mu8,0,0,-1,1000,10,-0.025,0,,,,,,,,
mu10,-1.14500000109188,0.109999976859875,0.052337890447069,0,0,0,8.18501864046987,0.00888285080521464,1.08030246146838E-10,-4.48785744433674E-14,5.12456069917849,6.01640968124712E-15,5.12545235396483,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu10.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://straw_machine_urdf_ver1/meshes/mu10.STL,,rubber_straw_holder_assy_moving_part.sat-1,Coordinate System10,Axis10,mu10,prismatic,-1.309,0.11,0.24801,3.1416,0,0,base_link,0,0,-1,1000,10,-0.025,0,,,,,,,,
